restaurante,city,num_of_reviews,avg_rating
Tacos El Hidalguense,Turlock,67,4.3
Pablito's Tacos,Los Angeles,67,4.0
Chuys tacos & bionicos,Lynwood,67,4.4
El Rincon Mexicano,Santa Ana,66,4.2
Panaderia Amarilla,Los Angeles,66,3.3
Mi Lindo San Juan,Gonzales,66,4.4
La Catrina,Oakland,66,4.2
Costa Delmar Mexican Restaurant,Riverside,66,4.5
Rero's Burrito Co,West Covina,66,4.7
El Taquin Mendoza,Fresno,66,4.5
Los Adobes Taqueria,Stockton,66,4.2
F.S. Mexican Food,San Dimas,66,4.1
El Nopal,Vallejo,65,4.3
Olas Mexicali Grill,Modesto,65,4.2
Taqueria Los Tres Amigos Inc.,Baldwin Park,65,4.4
Taquitos la bombonera 2,Woodland,65,4.5
Barranco taco bar,Los Angeles,65,4.3
Viva Taqueria,Santa Clara,65,4.2
Moe's Southwest Grill,Roseville,65,3.8
El Favorito Taqueria,Modesto,65,3.9
La Palapa Taco Shop,San Diego,65,4.6
Taco's Bruno's,Fresno,65,4.9
Tequila Restaurant,Merced,65,4.0
Chipotle Mexican Grill,Indio,65,4.1
El Bronco Taqueria,Los Angeles,64,4.2
Paletas y Nieves Limon,Maywood,64,4.4
Aztec Grill,Santa Rosa,64,4.3
El Dorado Mexican Food,Temecula,64,4.4
Tacos a Cabron #2,Los Angeles,64,4.2
Burrito Factory,Los Angeles,64,3.7
La Gordita Mexican Food,Murrieta,64,4.5
Carniceria Argentina Alex Meat Market,Los Angeles,64,4.7
Del Mar Cafe,San Gabriel,64,4.4
Best Coast Burritos,Oakland,64,3.8
Taco Bell,Riverside,64,3.6
Huaraches Y Quesadillas Chayito,Los Angeles,64,4.6
Broadway Diner,Chula Vista,63,3.5
Tuition Tacos,Riverside,61,4.7
Guacamole Grill,Lakewood,60,4.3
Pupuseria La Paz,San Pablo,58,3.8
Morenos Taqueria,Pismo Beach,58,4.8
Pancho Villa Restaurant,Long Beach,58,4.5
Compadres Estilo Tijuana,Lemoore,58,4.6
Tacos El Bronco,Los Angeles,58,4.2
Raspados El Diablito Loco Restaurant,Sacramento,58,4.0
Crazy Bull Inc.,Calexico,58,4.5
La Casita OC,Orange,58,4.8
Mi Amigo Restaurant and bakery,Fallbrook,58,4.7
Lino's Tacos,Los Angeles,58,4.5
El Pollo Rico,Goleta,58,4.2
El Matador Authentic Mexican Food,Pasadena,58,4.6
1st Street Burger House,Santa Ana,58,4.5
Los Pochos,Huntington Park,58,4.4
El Milagro Restaurant # 2,Salinas,58,4.0
Morena’s Mexican Cuisine,Mission Viejo,58,4.6
Chipotle Mexican Grill,Los Angeles,58,4.1
Carnitas Michoacan,Los Angeles,58,3.8
Taqueria El Tapatio #12,Oxnard,58,3.0
Tony's #1 Mexican Grill,Los Angeles,58,3.5
Taqueria El Taconazo,Santa Clara,58,4.1
GUACS Woodfire Mexican Grill,Diamond Bar,58,4.0
Tacos Cancun,Newport Beach,58,4.5
Baja Taco House,Huntington Beach,58,4.4
El Cazador,Princeton,58,4.6
La Casita Poblana,La Puente,58,4.5
Ocho Mexican Grill,Los Angeles,58,4.1
Turtle Bay Taqueria,Monterey,58,3.8
Tacos Y Mariscos,Los Angeles,58,3.8
La Palapa Mexican Restaurant,Lakeside,58,4.6
Taqueria Valparaiso,Modesto,58,4.6
Cafe Durango De Chi6ix,Daly City,58,3.8
Taco Perron,Santa Ana,58,4.4
El Pollo Habanero,South Gate,58,4.5
559 Taqueria,Clovis,58,3.1
Las Cabañas Mexican Grill & Taqueria,Berkeley,58,4.4
Birrieria Sergio,Marysville,58,4.5
Tierra Caliente Restaurant,Stockton,58,3.8
Tacos El Pelon,San Jose,58,4.3
Picca,Los Angeles,58,4.1
Tacos Estilo D.F,Carson,58,4.7
Brazuca Brazilian Cuisine,Manhattan Beach,58,4.7
Restaurant Cafe Valparaiso,Albany,58,4.7
Manoly's Bakery,Los Angeles,58,4.2
Carlito's Restaurant,Salinas,58,4.5
Tacos de camaron,Vernon,58,4.7
Delicias Oaxaqueñas,Lynwood,58,4.0
Antojitos Tropicales,Los Angeles,58,4.4
Jimenez Taco Shop,Kingsburg,58,4.5
Tacos Tortas & Burritos,Los Angeles,58,4.6
Barbacoa de borrego estilo texcoco,San Bernardino,58,4.5
Tropicocina Grill,Santa Ana,58,4.2
Tortilleria Guadalajara,Thousand Oaks,58,4.4
Tic Tac Restaurant,La Puente,58,4.4
Cecilia's Restaurant,Mendota,58,4.5
Tamara's Tamales,Los Angeles,58,4.6
La Parrilla Fresh,Los Angeles,58,4.1
Jose Chiquito,Los Angeles,58,4.2
Waffles N Cream,Santa Fe Springs,58,4.4
Super Taco,Montclair,58,4.4
La Pasadita,Woodland,58,4.0
Almas Mexican Food,Arcata,58,4.8
Taqueria Los Altos,Anaheim,57,3.8
Plaza Jalisco Restaurant #1104,Los Angeles,57,4.0
Taqueria los hermanos #2,Victorville,57,4.3
Sonia’s Taco Truck,Los Angeles,57,4.6
Acapulco,San Marcos,57,3.4
El Epazote Restaurant,Hollister,56,4.1
Ubatuba Acai - Woodland Hills,Los Angeles,56,4.4
La Poblanita Kitchen,Selma,56,4.1
Tacos Neza,Los Angeles,56,4.3
La Mas Meat Pollo Two,Los Angeles,56,4.1
Taco Lullus,Whittier,56,4.5
Pollo Master,Los Angeles,56,4.3
Tacos la Perla,Oakland,56,4.7
Rancho Medrano,Healdsburg,56,4.3
Las Brisas Autentic Mexican,Anaheim,56,4.2
Trujillo Family Restaurants,Los Angeles,55,4.4
Pepe's,Hayward,55,4.5
El Potrillo Cafe,Los Angeles,55,4.0
Davina's Mexican Restaurant,Oceanside,55,4.5
Reyna Market,Santa Ana,55,4.2
La Cabaña Mexican Grill,Stockton,55,4.0
La Cocina De Mama,Fresno,55,4.3
Roger's Cafe,Oxnard,55,4.1
Taqueria La Fiesta,Novato,55,3.9
Qala Peruvian Seafood & Grill,San Diego,54,4.2
Ceviche 19,Anaheim,54,4.7
Velarde's Fruits,Los Angeles,54,4.7
El Torito,Burbank,54,3.7
Tacos Punta Cabras,Santa Monica,54,4.5
Alebrijes Oaxacan Restaurant,Santa Maria,54,4.6
El Super Antojito,Sanger,54,4.2
Taqueria La Plebe and More,Los Angeles,54,4.8
Tortas El Guero,Ontario,54,4.9
Dia Y Noche,Walnut Creek,54,4.1
El Torito,San Diego,54,3.9
Mariachi’s Restaurant,Gualala,53,3.3
Golazo,Los Angeles,53,4.2
Viva Mexico,Lynwood,53,4.3
El Capitan Taqueria,San Francisco,53,3.9
Jessica's Tacos,Modesto,53,4.4
Taqueria Jerez,Los Angeles,53,4.5
Ramírez Taqueria,La Puente,53,4.6
El Charrito's Mexican Deli,Marysville,52,4.8
Tacos Duran-Go,Fresno,52,4.5
Adriana's Mexican & American Restaurant,Arcata,52,3.9
Paraiso,Los Angeles,51,4.0
La Fonda Mexican Grill & Cantina,Bakersfield,50,4.5
American Street Tacos,Inglewood,48,4.3
CAMICH FT,Azusa,48,4.7
Taqueria Sin Frontera,Tulare,48,4.6
Tacos MX,Los Angeles,48,4.4
Amorcito Corazón Mexican Bistro,San Diego,48,4.7
De Oro La Puerta Mexican Restaurant,Huntington Beach,48,4.6
Los Yaquis,San Francisco,48,4.7
Rancho Viejo,Santee,48,4.6
Mi Taco Shop,El Cajon,48,4.7
Don Pico’s Mexican Bistro & Cevicheria,San Bruno,48,3.8
El San Marcos Mexican Restaurant,Visalia,48,4.6
Tacos Huetamo,Los Angeles,48,4.6
Coupa Cafe - Stanford Golf Course,Stanford,48,4.5
El Tamborazo Restaurant,Gridley,48,4.1
El Portal,Fontana,48,4.2
Tacos Colima,Los Angeles,48,4.8
Mariscos Y Taqueria Ixpalino Sinaloa,San Mateo,48,4.4
Burritos El Potosino,Folsom,48,4.8
Birrieria San Marcos,Los Angeles,48,4.5
La Pinata Mexican Restaurant,Newark,48,3.7
La guacamaya taco truck,Modesto,48,4.6
Papi Tio's Tacos,Fresno,48,4.4
La Catrina Restaurant,Los Angeles,48,4.1
1810 Argentinean Restaurant,Los Angeles,48,4.5
Baja Springs,Palm Springs,48,4.3
Tacos Guadalajara,Los Angeles,48,4.6
Paleteria Penjamo,Dinuba,48,4.8
Nossa Restaurant,Los Angeles,48,4.5
Restaurante Las Fogatas,Taft,48,4.4
Wahoo's Fish Taco,Los Angeles,48,4.4
Es Todo Vegan Street Food,Los Angeles,48,4.7
Tacos El Flaco,San Francisco,48,4.3
Mariscos El Costeño Mexican Restaurant,South Gate,48,4.4
Tacos Marline,Riverside,48,4.6
Mexican Express,Oxnard,48,4.5
"Forty's Bakery,Restaurant & Juices",Los Angeles,48,4.3
El Indio,Los Angeles,48,4.1
El Patio Mex Grill,Montebello,48,4.0
Nono's Mexican Restaurant,San Juan Capistrano,48,4.3
Taqueria El Limoncito,Colton,48,4.7
Maria's Restaurant Mexican Food,Garden Grove,48,3.9
Pili's Tacos,Los Angeles,48,4.2
EL RANCHO MEXICAN RESTAURANT,Sacramento,48,4.1
Chef Burger,Thousand Oaks,48,3.7
La Serenata de Garibaldi,Los Angeles,48,4.2
Taqueria Michoacana,Farmersville,48,4.3
Taqueria La Laguna,San Leandro,48,4.1
Taqueria El Gallo Jr,San Jose,48,4.4
Papayin's Taco Shop Mexican Food,San Diego,48,4.5
Taqueria Los Tres Garcias,Long Beach,48,4.6
Estrella Market & Liquor,Baldwin Park,48,4.3
La Fiesta,San Diego,48,3.7
Tacos Mi Pueblo,Westminster,48,4.0
Grace Deli & Cafe,San Jose,48,4.4
La cruda (tacos y mariscos),Merced,48,4.6
Doña Félix Restaurant,Los Angeles,48,4.2
El Torito Grill,Torrance,48,3.6
Tukut Lounge at San Manuel Casino,Highland,48,4.0
The Taco Truck,McFarland,48,4.0
El Sol Restaurante,El Monte,48,4.5
Tacos Panzon,Oakland,48,4.9
Taqueria San Martin,Anaheim,48,4.1
Limón Peruvian Cuisine,Fresno,48,4.5
Papi Rico,San Francisco,48,3.9
Taco Bell,Lodi,47,3.8
El Torito,Placentia,47,3.7
Tacos Xochimilco,Oakland,47,4.7
Agave Azul Kitchen & Tequila Bar,Hermosa Beach,47,4.1
TQLAS,La Quinta,47,4.3
Taco Bell,Inglewood,47,2.7
Mi Rinconcito Oaxaqueño,San Jose,47,4.5
El Taco Chico,Oak Park,47,4.1
Don Baja Grill,La Verne,47,4.7
La Gran Villa,Bakersfield,47,4.0
Cesi's Cafe,Alpaugh,47,4.5
Taqueria Los 3 Carnales,East Los Angeles,47,3.7
Viva Zapata Restaurant & Cafe,South El Monte,47,4.6
El Costeño Mexican Kitchen Tacos & Seafood,Hawaiian Gardens,47,4.7
Taco bell,Garden Grove,47,3.3
Taqueria El Mexicano,Patterson,46,4.7
Ensenada's Mexican Food,Santee,46,4.4
Menudo Y Quesadillas,Los Angeles,46,4.3
La Cocina Rica Restaurant,Oxnard,46,3.8
Viva Baja Grill,Rosemead,46,4.8
Chipotle Mexican Grill,Moorpark,46,3.5
Taquería at Tortilla Jo's,Anaheim,46,3.7
El Pollo Loco,Burbank,46,3.9
Taqueria Maria,Daly City,46,4.1
El Mustacho,El Cajon,46,4.5
Mi Lindo Apatzingan #2,Riverside,46,4.1
EL GRULLENSE RICO,Terra Bella,46,4.4
La Esperanza Mariscos,Watsonville,46,3.7
Tacomania Willow Glen,San Jose,46,3.9
La Baja Mexican Food,Spring Valley,46,4.8
"Justin Queso's Tex-Mex Restaurant & Bar - Mexican Food & More: Brunch, Lunch, Dinner & Late Night Drinks",West Hollywood,46,4.4
Tacos Pacheco Taqueria,Salinas,46,4.5
La Michoacana Restaurant,Grand Terrace,46,4.0
EL PRIMO TACO TRUCK,Firebaugh,46,4.5
Sub Society Incredible Sandwiches,Torrance,46,4.5
La Costenita Mexican Food,Santa Ana,45,4.0
Del Taco,Victorville,45,3.9
Fiesta Mexicana,Los Angeles,45,4.2
Guadalajara Birreria y Taqueria,Pomona,45,4.1
Inka Palace Peruvian Restaurant,Antioch,45,4.0
Cabanna Seafood and Grill,Escondido,45,4.3
Tacos Coco's Restaurants,Pico Rivera,45,4.5
Cervantes Mexican Food,Anaheim,45,4.3
Suazos Tacos,Stanton,45,4.3
El Maguey Express,San Juan Capistrano,45,4.2
La Roca Restaurant,Woodland,44,4.2
Marielas Tacos,Garden Grove,44,4.4
Marco's Restaurant,Westmorland,44,4.3
El Favorito Taqueria,El Dorado Hills,44,4.1
Coliman Mexican Food,San Diego,44,4.3
Cilantro Fresh Mexican Grill,Los Angeles,44,4.6
El Ahorro Market & Deli,San Francisco,44,4.6
Los Pambazos,San Jose,44,4.7
MX 30-30 ll,Los Angeles,44,4.8
La Piramide Salvadoreña Restaurant,Los Angeles,43,4.2
Valenzuela's Cafe,Needles,43,4.7
Vecinas Mexican Restaurant,Vallejo,39,4.2
Azulé Taqueria,Santa Monica,38,4.1
Taco Stand,Parlier,38,4.4
Castañedas Mexican Food,La Habra,38,4.5
Chronic Tacos,San Marcos,38,3.8
Carnitas al Estilo Michoacan #2,Moreno Valley,38,3.4
Rubio's,San Diego,38,4.1
La Primavera,Orange,38,4.1
Mariscos Tacos Grill,Orange,38,3.8
Casa Barajas,San Francisco,38,4.3
La Bendición Taqueria y Restaurant,Castroville,38,4.2
Paletalandia,Lodi,38,3.7
Don Fili's Grill,Riverbank,38,4.4
Yuyis Tacos,San Leandro,38,4.7
Al Teatro Panini Grill,San Diego,38,4.7
El Pollo Campeon,San Fernando,38,4.1
Cazuelas Grill,Richmond,38,3.7
Ramones Mexican BBQ,Camp Pendleton North,38,4.3
Mariscos El Pescador,Fresno,38,4.0
California Tacos,Dinuba,38,4.5
MR Tacos Inc,El Centro,38,4.3
El Burrito Loco Taco Truck,San Jose,38,4.5
Mexican Imports,Kerman,38,4.5
Tortilleria Los Reyes,Vista,38,4.4
Mr. Manitas Taco Bar and Fruteria,Julian,38,4.7
Lupita's Express,Downey,38,4.5
San Pablo Billiards,San Pablo,38,3.8
Comalapa Restaurant,Oakland,38,3.9
Las Delicias Cafe,Ventura,38,4.4
Alams Taqueria,San Jose,38,4.8
El Puente Taqueria,Lodi,38,4.2
Cowboy Burgers & BBQ,Baldwin Park,38,3.7
Brasas Mexican Grill,Corcoran,38,4.2
Asadas Mexican Restaurant,Porterville,38,4.3
Birrieria Guadalajara,South Gate,38,4.2
Taqueria La Unica Strathmore,Strathmore,38,4.6
Taco Lulu Mexican Food & Catering,Whittier,38,4.6
Daniel's Taco Shop,El Cajon,38,4.9
Salt & Pepper Taqueria and Catering,Turlock,38,4.6
Restaurant Miramar,Oxnard,38,3.7
Bravo Carne Asada & Beer,San Diego,38,4.5
Tierra Caliente Mexican Food,Azusa,38,4.2
Taqueria El Jarocho 3,Hayward,38,4.6
The Patio Express: Fresh Peruvian Food,Pico Rivera,38,4.5
Taqueria Mazatlan,Colton,38,4.8
Taqueria Lolita,Compton,38,4.6
Mariscos del Rey,Fresno,38,4.4
HomeState,Pasadena,38,4.8
Carnitas Michoacanas,Los Angeles,38,4.2
El Buen Taco,Pomona,38,4.1
taide's bionicos,South Gate,38,4.2
Taqueria Don Jose # 4,Colton,38,3.3
Chevys,Mountain View,38,3.4
Los Alteños Taqueria,Shafter,38,4.4
Taco Bell,San Ramon,38,3.5
Pollo Rico,El Monte,38,4.3
Cocina Calavera,San Diego,38,4.5
La Frutifresca,Oxnard,38,4.6
Sol y Luna Cocina Mexicana,Pleasant Hill,38,4.8
Mija's Mexican Food,Hesperia,38,4.4
Centennial Ranch,Elk Grove,38,4.4
Karina's Cantina,San Diego,38,4.1
Mariscos Y Sushi El Patron,Fair Oaks,38,3.9
YBÁ - Authentic Brazilian Açaí & Tapioca Crepes,San Clemente,38,4.9
La Barca Market,Oakley,38,4.8
Mi Lindo Nayarit Restaurant,Los Angeles,38,4.0
Lalo's Mexican Antojitos,Watsonville,38,3.6
El Pollo Grande Restaurants,Lennox,38,4.4
Tacos Guadalajara,Long Beach,38,4.0
La Carreta Mexican Restaurant,Fresno,38,4.0
Taqueria Los Primos #2,Long Beach,38,4.5
Amigos Cantina & Grill,Chino,38,3.5
Rebel Tacos,Temecula,38,3.5
Casa de las Fajitas,McFarland,38,4.4
Villa Del Sol Mexican Restuarant,Los Angeles,38,4.2
El Capitan Taqueria,San Francisco,38,3.9
Bionicos Y Jugos Guadalajara,Hemet,38,4.0
La Familia Restaurant,Loma Linda,38,4.7
Guacs Mexican Grill,City of Industry,38,3.3
La Princesita Taco Truck,San Diego,38,4.3
El Quetzal Restaurant,Clovis,38,3.9
Mariscos La Morena,San Diego,38,4.4
Taqueria El Ramy,Madera,38,4.1
Tacos fiesta LA,Los Angeles,38,4.8
Cactus Mexican Grill,Los Angeles,38,3.6
R Mexican Food,Hollister,38,4.1
Agave Birrieria,Encinitas,38,4.7
Ramones Mexican BBQ,Agra,38,4.4
Lolita's Mexican Food,San Diego,38,4.2
Las Brisas Mexican Restaurant,Hawthorne,38,4.2
Tacos Martin,Muscoy,38,4.2
Taco Bell,Fairfield,38,3.0
Restaurante La Carreta,Avenal,38,3.9
El Rinconcito Taqueria,Carson,38,4.7
Mariscos Archibaldo,Merced,38,3.9
Mi Casita Restaurant,Holtville,38,4.3
Churros y raspados,Chino,38,4.3
Taco Bravo,Los Angeles,38,3.9
Foodtruck,Woodland,38,4.7
QDOBA Mexican Eats,Orange,38,3.4
Chronic Tacos,Dana Point,38,4.1
La Sirena Grill,El Segundo,38,4.1
Gringo Tacos Burritos and More,Paso Robles,38,4.5
South Tacos R&R,Ontario,38,4.3
Hub Liquor & Tacos,San Fernando,38,4.6
Chico's Grill,San Francisco,38,4.1
Taco Bell,Danville,38,4.1
Taco Movil,Escalon,38,4.3
Evil Cooks,Los Angeles,38,4.7
Ana’s La Gran Fonda / Bionicos,Gardena,37,4.3
Gracie's Mexican Deli,Los Angeles,37,4.2
tacos super gallito,Whittier,37,3.9
Taco Bell,Alameda,37,3.5
Mariscos Taco de Mexico,Taft,37,3.9
Zapata Mexican Grill,San Francisco,37,3.9
TAQUERIA LA GUADALUPANA,City of Industry,37,4.6
El Paraiso Cafe,San Francisco,37,4.3
Lupulandia Brewing,San Francisco,37,4.6
Los Mariscos La Puente,La Puente,37,4.2
Chavez Guadalupe,Los Angeles,37,4.4
Rincon Tarasco,Menlo Park,37,4.3
Q's Tacos Restaurant,Temecula,37,4.3
Vargas Food & Beer,Salinas,37,4.3
Taqueria De Anda,Anaheim,37,4.4
Dahlia Mexican Grill,San Mateo,37,3.8
Tacos los 2 pollitos,Long Beach,37,3.9
Taqueria La Fortuna Taco Truck,Santa Ana,37,4.5
Paraíso Del Mar,Los Angeles,37,3.9
Fondita Elisa,Stockton,36,4.7
Tacos Gamboa,East Compton,36,4.6
LA PUREPECHA COCINA MEXICANA,Santa Monica,36,4.8
Los Burritos,National City,36,3.9
Santeria,San Francisco,36,4.7
Seaside Bistro,Los Angeles,36,4.6
Taqueria Hidalgo,Turlock,36,4.2
El Torito,Santa Clara,36,3.6
El Centro,Yuba City,36,4.1
Taqueria Plaza Mexico,Antioch,36,4.5
Mexicali Bar & Grill,Riverside,36,4.4
Mariscos Pueblo Culiche,Santa Ana,36,4.6
El Tortillazo Mexican food,Los Angeles,36,4.3
Viva Mexico Paleteria y Antojitos Mexicanos,San Jose,36,4.6
Restaurant Pollo Al Carbon,Los Angeles,36,3.8
Trevino's,El Cerrito,36,4.0
Tamales Alberto Echo Park,Los Angeles,36,4.4
Don Quixote,Felton,36,3.4
La Estrella,Fort Bragg,36,4.8
Las Enchiladas Restaurant,South Gate,36,4.1
El Borrego Restaurant,Chino,36,4.1
Mar y Tierra Tacos Fish,Norwalk,36,4.5
Chikali Mariscos Y Tacos,Visalia,36,4.0
Sonora Express Mexican Fusión,San Diego,36,4.6
La Cresta Restaurant and Caffé,El Cajon,36,4.7
Tino’s Tacos & More,Livermore,36,4.6
Los Portales Market and Carniceria,Yuba City,36,4.5
Tacos Cortes,Chico,36,4.1
Taqueria Santa Cruz Express 2,San Luis Obispo,35,4.4
Nene's Colombian Food,Lawndale,35,4.6
Gaucho Grill Woodland Hills,Los Angeles,35,4.0
Fresca's Mexican Grill,Lake Forest,35,4.2
Tacos La Mezcla,San Diego,35,4.8
Tinga,Los Angeles,35,4.2
El Ranchito Autentica Comida Mexicana,Anaheim,35,4.6
La Papa Loca,Los Angeles,35,4.2
Acapela Modern Mex,Los Angeles,35,4.7
Taqueria Ramirez,Willits,35,4.8
El asadero taco grill,Bakersfield,35,4.6
Doña Estela Mariscos,Los Angeles,35,4.6
Nuevo Vallarta Restaurant,Sacramento,35,4.2
Los Arcos Mexican Restaurant,Modesto,35,3.9
Mariscos-Land,Riverside,35,4.2
Los Primos Mexican Food,Chula Vista,35,3.1
Tacos Dos Primos,Oakland,35,4.7
La Tapatia Tacos Y Tortas,Colton,34,4.6
Nuevo Amanecer,Montebello,34,4.5
Fiesta Mexican Grille,San Diego,34,4.4
Mi Sinaloa Restaurant,Bakersfield,34,4.6
Don Taco Truck,Somis,34,4.9
Kayndaves,Santa Monica,34,4.6
Taqueria Diego,Fresno,34,4.5
Taqueria Y Pupuseria Zavala,Colton,34,3.7
La Casita Chilanga,San Jose,34,4.9
Tacos Campestre,Perris,34,4.5
Los Tripones,Los Angeles,34,4.3
El Pollo Gordo,Burbank,34,4.4
Sabor A Malibu,Malibu,34,4.4
Birria and Pozole To Go,Los Angeles,34,4.6
Lucero's Mexican Food,Westminster,34,4.5
Jora Peruvian food,San Jose,34,4.5
Fina Estampa,Merced,33,4.1
Baja Fresh Mexican Grill,Firebaugh,33,3.4
Tacos Raul,Compton,33,4.7
Yona Redz,Santa Barbara,33,4.3
Taqueria La Nueva Vallarta,Roseville,33,4.6
Z’s,Montebello,33,4.7
Sunrise Food Market & Liquor,Madera,33,3.9
Oscar’s Mexican Seafood,Encinitas,33,4.1
Fuego,Los Angeles,33,4.8
La Pancita Feliz,Whittier,33,4.5
Chipotle Mexican Grill,Coronado,33,3.4
Tacos Mi Rancho,Oakland,33,4.7
TACOS CALIFORNIA,Fresno,33,4.5
Carnitas El Mirador,Los Angeles,33,4.7
Carisoul BBQ,San Jose,33,4.7
"""BLUE ZEBRA"" LA ZEBRA AZUL RESTAURANT BAR, NIGHT CLUB",Lodi,33,4.3
Mela's Mexican Restaurant,Marysville,33,4.6
Aztec Grill,Willow Creek,32,4.2
La Superior Panaderia,Los Angeles,30,4.3
La Michoacana,Montclair,30,3.9
El Aji Cocina Peruana,Los Angeles,28,4.3
Taco truck tho,Los Angeles,28,4.6
Taco Bell,Grand Terrace,28,2.5
Akna,San Francisco,28,4.9
Tacos los carnales,Rancho Cucamonga,28,4.4
La Baja Gourmet,Victorville,28,4.2
Tacos Cala,San Francisco,28,4.4
El Callejon Encinitas,Encinitas,28,3.7
Deli-icious Cafe,Anaheim,28,4.3
Taco Bell,Rancho Cucamonga,28,2.3
Tacos Estilo Sinaloa,Downey,28,4.6
Arriba Baja Grill,Costa Mesa,28,4.3
Zacatecas Meat Market,Los Angeles,28,4.6
Rancho Fresco Mexican Grill,Modesto,28,4.4
Doña Leo Restaurant,Salinas,28,4.1
Casamigo Restaurant,Watsonville,28,3.9
Ositos Mexican Pub,Shaver Lake,28,3.9
Garcias Restaurant & Catering,Oxnard,28,4.4
Birria Estilo Tlaquepaque,Compton,28,4.5
Comal Next Door,Oakland,28,4.7
Carrillo's Restaurant Taqueria,Fresno,28,4.8
ZAMORA BROS. EAST LA,East Los Angeles,28,4.5
El Forastero,Oxnard,28,4.8
Tacos El Catracho,Santa Ana,28,4.3
"Lopez Fine Wines Liquor & Taqueria, Toro Park",Salinas,28,4.6
Tacos Alonzo,Oakland,28,4.5
Corazon y Miel Closed,Bell,28,4.6
America's most wanted menudo,Pico Rivera,28,3.4
Dr. Burrito,Sunnyvale,28,3.4
Taqueria Santa Barbara,Santa Barbara,28,4.4
Rodeo Mexican Grill (Echo Park),Los Angeles,28,4.1
Tacos La Penca Azul,Oakland,28,4.3
Tacos Avalos Birria de res estilo T.J.,Los Angeles,28,4.9
Wunder-Eats,Beverly Hills,28,4.0
Baja Fresh,Galt,28,3.4
GREEN BURRITO,La Habra,28,4.3
La Casa Del Cocinero,La Mirada,28,3.9
Taqueria Durango,Hughson,28,4.4
EK Valley,Culver City,28,4.9
Tacos Estilo DF,Los Angeles,28,4.0
La casita olvera,La Habra,28,4.5
Tacos Juliet,Los Angeles,28,4.2
Cocina Los V,Los Angeles,28,4.6
Tacos/Moulita Stand,Los Angeles,28,4.6
Micheladas Mex Grill,Los Angeles,28,4.7
Baleadas Y Más,Los Angeles,28,4.7
Los Potrillos Restaurant,Colusa,28,4.2
Pancheros Mexican Grill,Fremont,28,3.3
Tacos 210,Altadena,28,4.8
Vicky's Restaurant,Los Angeles,28,4.7
Martinez Monkey Tacos,Anaheim,28,4.3
Tacos Y Mariscos Sergio Taqueria,Coalinga,28,4.4
TE AMO TACOS,Los Angeles,28,4.2
Armando's Mexican Food,Rialto,28,4.7
Cristi's Restaurant,Anaheim,28,4.3
Leyva's Mexican Food,Bell Gardens,28,4.4
Tacos Bernis,Los Angeles,28,4.6
Cut360 Westlake,Thousand Oaks,28,3.9
Mendoza’s Tacos (FoodTruck),Stockton,28,4.4
Tacos El Orejas,San Diego,28,4.3
Hornitos Cafe,Oakland,28,4.6
Taqueria Gonzalez,Coalinga,28,4.9
El Fogoncito Taqueria,Marysville,28,4.0
"Tonantzin ""Taco Goddess""",Stockton,28,4.8
Viva Jalisco,San Fernando,28,4.4
Las Americas,San Mateo,28,3.9
Taqueria Mexico,Garden Grove,28,4.2
Shark Shack,Hayward,28,4.6
Mi Lindo Sinaloa Coachella,Coachella,28,3.4
Dunagan's Market,Adelanto,28,3.5
Taqueria Pinolera,Chico,28,4.7
Guadalajara Meat Market,South Gate,28,4.6
Rosita Mexican Restaurant,Los Angeles,28,3.8
Garden Juice,Los Angeles,28,4.1
La Casa Cuevas Mexican Food,Anderson,28,3.9
Las Nuevas,Los Angeles,28,4.4
La Güera Poblana Quesadillas,Los Angeles,28,4.6
Los Cabos Grill & Cantina,Downey,28,3.7
Fountain Springs El Tapatio,Porterville,28,4.9
Taco Bell,Fresno,28,3.7
El Rancho Mexican Restaurant,Five Points,28,4.4
El Mesquite Restaurant,Bloomington,28,4.4
EL MICHOACANO TACOS,Los Angeles,28,4.1
Carniceria Las Glorias market #2,Azusa,28,4.9
Taqueria Azteca,Palo Alto,28,3.9
Ricos Tacos El Guero,San Jose,28,4.5
Ornela's,Fresno,28,4.0
El Guero 2,Santee,28,4.2
El Sancho Mexican Food,Los Angeles,28,4.2
Estancia at The Grand Conquista,Chino,28,4.8
Raspaditos,Twentynine Palms,28,4.6
TACOS COTIJA,Red Bluff,28,4.2
Tacos El Tio,Gardena,28,4.6
Taqueria y Carniceria San Miguel,Madera,28,4.5
Taco Bell,Universal City,28,4.0
Commerce Birrieria,Commerce,28,4.6
Guadalajaras Birrieria,San Bernardino,28,3.9
South Harbor Waterfront,South San Francisco,28,4.4
La Especial,Los Angeles,28,4.4
The Green Chili Jr,Santa Fe Springs,28,4.4
Tacos El Venado,Los Angeles,28,4.6
Taco Bell,San Jose,28,3.7
Alta California Fonda,Los Angeles,28,4.6
Vallarta#2,Corona,28,4.7
Taqueira San Miguel,Rialto,28,4.3
Tacos El Tijuanazo,Los Angeles,28,4.1
La Reyna Tacos #2,Los Angeles,28,4.8
Tacos Roger #1,Los Angeles,28,4.3
El Mexicano Taqueria,Fresno,28,3.9
Mi Burrito Mexican Grill,Redondo Beach,27,4.7
"tacos ""la chapis""",East Los Angeles,27,4.0
Tacos El Compita,Costa Mesa,27,4.7
Mejia's Mexican Food,Lakewood,27,4.7
Tacos El CUÑADO,Pomona,27,4.7
Taco's and Beer's,Madera,27,4.4
