name,city,rating,num_of_reviews,category
Arsenios Mexican Food,Fresno,2.0,59,['Mexican restaurant']
La Kebrada Restaurant,Fresno,2.5,61,['Mexican restaurant']
Chuys Tacos Y Taquisas,Fresno,2.2,49,['Mexican restaurant']
El Taquin Mendoza,Fresno,2.3,35,['Mexican restaurant']
"Tacos Josefina, Jose's Taco Shop",Fresno,2.3,77,['Mexican restaurant']
Las Palmas,Fresno,1.9,12,['Mexican restaurant']
Papi Tio's Tacos,Fresno,2.5,32,['Mexican restaurant']
Carrillo's Mexican Food Inc.,Fresno,2.3,12,['Mexican restaurant']
Fasika Ethiopian Restaurant,Fresno,3.1,220,['Brazilian restaurant']
Pico De Gallo Mexican Food,Fresno,2.6,79,['Mexican restaurant']
Raspados California,Fresno,2.7,11,['Mexican restaurant']
DON SALSA'S TAQUERIA,Fresno,2.6,50,['Mexican restaurant']
Taqueria Los Compadres,Fresno,2.3,54,['Mexican restaurant']
Taco Bell,Alameda,1.4,475,['Mexican restaurant']
Limón Peruvian Cuisine,Fresno,2.5,31,"['Peruvian restaurant', 'Latin American restaurant']"
Taco Bell,Alameda,1.3,59,['Mexican restaurant']
TACOS CALIFORNIA,Fresno,2.6,20,['Mexican restaurant']
Mexican Imports,Kerman,1.6,24,['Mexican restaurant']
El Rancho Mexican Restaurant,Five Points,3.0,16,['Mexican restaurant']
La Esquinita Mi Pueblo,Huron,2.1,59,['Mexican restaurant']
El Frijolitos Restaurant,Avenal,1.8,60,['Mexican restaurant']
Restaurante La Carreta,Avenal,2.2,23,['Mexican restaurant']
Compadres Estilo Tijuana,Lemoore,2.5,36,['Mexican restaurant']
Mariscos el Tarasco,Reedley,2.1,47,['Mexican restaurant']
Tacos Mariscos Tijuana,Reedley,1.6,81,['Mexican restaurant']
Jimenez Taco Shop,Kingsburg,2.5,38,['Mexican restaurant']
La Poblanita Kitchen,Selma,1.9,32,['Mexican restaurant']
Alfonso's Carniceria y Taqueria,Selma,2.0,58,['Mexican restaurant']
El Mexicano Taqueria,Fresno,2.0,16,['Mexican restaurant']
El Super Antojito,Sanger,2.1,38,['Mexican restaurant']
Taco Stand,Parlier,1.9,26,['Mexican restaurant']
Yolis Snacks,Parlier,2.3,48,['Mexican restaurant']
Taqueria Zihuatanejo 2,Parlier,2.5,41,['Mexican restaurant']
Arteaga Mexican Restaurant,Parlier,2.0,55,['Mexican restaurant']
Mi Casita Mexican Restaurant,Parlier,2.1,47,"['Mexican restaurant', 'Latin American restaurant']"
Supertacos Taqueria,Parlier,1.9,37,['Mexican restaurant']
Taqueria Santa Fe,Orosi,2.4,155,"['Mexican restaurant', 'Latin American restaurant']"
El Cesar,Orosi,2.3,40,"['Mexican restaurant', 'Latin American restaurant']"
The Best Salsa,Orosi,2.6,37,['Mexican restaurant']
Juanito's Express,Dinuba,2.4,52,['Mexican restaurant']
Paleteria Penjamo,Dinuba,2.6,30,['Mexican restaurant']
California Tacos,Dinuba,1.9,21,['Mexican restaurant']
Lupita's Tacos,Visalia,2.6,63,['Mexican restaurant']
Super Taco,Montclair,2.3,556,['Mexican restaurant']
Taqueria Sin Frontera,Tulare,2.8,25,['Mexican restaurant']
Mikey V's,Tulare,2.4,23,['Mexican restaurant']
Amigos,Tulare,2.1,17,['Mexican restaurant']
El San Marcos Mexican Restaurant,Visalia,2.5,24,['Mexican restaurant']
MIA'S Tacos,Visalia,2.4,14,['Mexican restaurant']
Chikali Mariscos Y Tacos,Visalia,2.7,20,['Mexican restaurant']
Doc's Drive In,Visalia,2.3,201,['Mexican restaurant']
Taqueria Michoacana,Farmersville,2.4,28,['Mexican restaurant']
Marisqueria & Taqueria Don Chava,Farmersville,2.2,59,['Mexican restaurant']
Tony's Tacos,Visalia,2.5,69,['Mexican restaurant']
El Nuevo Tlaquepaque,Exeter,2.4,90,['Mexican restaurant']
Ositos Mexican Pub,Shaver Lake,3.6,13,['Mexican restaurant']
Tacos Jalisco,Kings Beach,1.9,52,['Mexican restaurant']
Taco Bell,Alameda,1.5,17,['Mexican restaurant']
Taqueria Ahi,Sutter Creek,2.2,49,['Mexican restaurant']
Tacos Morelia,Acampo,2.7,13,['Mexican restaurant']
Paletalandia,Lodi,1.9,22,['Mexican restaurant']
El Puente Taqueria,Lodi,1.8,23,['Mexican restaurant']
"""BLUE ZEBRA"" LA ZEBRA AZUL RESTAURANT BAR, NIGHT CLUB",Lodi,1.3,18,['Mexican restaurant']
Baja Fresh,Galt,1.3,15,['Mexican restaurant']
Taco Bell,Alameda,1.4,35,['Mexican restaurant']
El Borrego De Oro,Sacramento,2.0,70,['Mexican restaurant']
Carolina's Mexican Restaurant,Sacramento,1.6,470,"['Mexican restaurant', 'Latin American restaurant']"
Fine Mexican Food,Elk Grove,2.5,11,['Mexican restaurant']
Centennial Ranch,Elk Grove,2.1,27,['Mexican restaurant']
EL RANCHO MEXICAN RESTAURANT,Sacramento,2.3,19,['Mexican restaurant']
Taco Bell,Alameda,1.3,951,['Mexican restaurant']
El Nopal Mexican Grill,Sacramento,1.9,10,['Mexican restaurant']
3 Hermanas,Sacramento,2.6,83,['Mexican restaurant']
Chipotle Mexican Grill,Anaheim,1.7,579,['Mexican restaurant']
Mr. Carnitas Mexican Restaurant,Sacramento,1.7,11,['Mexican restaurant']
Carnitas Michoacan,Los Angeles,2.4,40,['Mexican restaurant']
Nuevo Vallarta Restaurant,Sacramento,1.8,18,['Mexican restaurant']
Lucia's Fresh Mexican Grill & Cuisine,Sacramento,3.0,13,['Mexican restaurant']
Raspados El Diablito Loco Restaurant,Sacramento,1.5,34,['Mexican restaurant']
El Pollo Feliz,Carmichael,3.0,39,['Mexican restaurant']
Tacos La Nueva,Sacramento,2.1,104,['Mexican restaurant']
Kico's Méxican Food,Sacramento,2.2,579,['Mexican restaurant']
El Pollo Loco,Burbank,1.8,633,['Mexican restaurant']
El Chacuaco Restaurant,Carmichael,2.2,60,['Mexican restaurant']
Mariscos Y Sushi El Patron,Fair Oaks,2.3,15,['Mexican restaurant']
Jimboy's Tacos,Citrus Heights,2.0,337,['Mexican restaurant']
Bernardos Mexican Restaurant,Granite Bay,2.4,91,['Mexican restaurant']
El Favorito Taqueria,El Dorado Hills,2.3,27,['Mexican restaurant']
Zócalo Folsom,Folsom,2.6,189,['Mexican restaurant']
Burritos El Potosino,Folsom,2.8,26,['Mexican restaurant']
Jimboy's Tacos,Citrus Heights,2.6,13,['Mexican restaurant']
Que Viva,Cameron Park,2.2,70,"['Mexican restaurant', 'Latin American restaurant']"
Pollo Asado Mr. Jimmy,Auburn,2.4,61,['Mexican restaurant']
El Agave Taqueria,Auburn,2.1,131,['Mexican restaurant']
Mezcalito Oaxacan Cuisine,Rocklin,2.8,479,['Mexican restaurant']
Adalberto's Méxican Food Restaurant,Rocklin,2.1,756,"['Mexican restaurant', 'Latin American restaurant']"
Moe's Southwest Grill,Roseville,1.7,50,['Mexican restaurant']
Carmelita's Méxican Restaurant,Roseville,2.5,645,['Mexican restaurant']
Taqueria La Nueva Vallarta,Roseville,3.3,16,['Mexican restaurant']
Chipotle Mexican Grill,Anaheim,1.6,421,['Mexican restaurant']
Playa Linda Taqueria,Rio Linda,2.2,59,['Mexican restaurant']
El Burrito,Sacramento,1.9,207,"['Mexican restaurant', 'Latin American restaurant']"
El Centro,Yuba City,2.1,19,['Mexican restaurant']
Los Portales Market and Carniceria,Yuba City,2.9,16,['Mexican restaurant']
El Fogoncito Taqueria,Marysville,1.5,19,['Mexican restaurant']
El Favorito Taqueria,El Dorado Hills,2.3,277,['Mexican restaurant']
Lena's Cantina,Portola,2.5,88,"['Mexican restaurant', 'Latin American restaurant']"
El Charrito's Mexican Deli,Marysville,2.6,29,['Mexican restaurant']
Birrieria Sergio,Marysville,2.2,35,['Mexican restaurant']
Mela's Mexican Restaurant,Marysville,2.6,18,['Mexican restaurant']
Juice Unwind,Oroville,3.8,13,['Caribbean restaurant']
Rico's Taqueria,Paradise,2.9,22,['Mexican restaurant']
Antojitos Hippocampos,Bishop,3.1,19,['Mexican restaurant']
Amigos Mexican Restaurant,Bishop,2.3,168,"['Mexican restaurant', 'Latin American restaurant']"
Fatboys Taco,Palmdale,2.4,78,['Mexican restaurant']
Los Tapatios,Palmdale,1.6,12,['Mexican restaurant']
Tropikal Calle 8,Lancaster,2.0,59,['Latin American restaurant']
Mariscos Costa Mar Restaurant,Palmdale,1.7,52,"['Mexican restaurant', 'Latin American restaurant']"
Taco Bell,Alameda,1.7,22,['Mexican restaurant']
Mi Durango,Lancaster,2.6,105,['Mexican restaurant']
Laco Taco,Castaic,3.2,16,['Mexican restaurant']
El Torito,Burbank,1.4,15,['Mexican restaurant']
Rosarito Grill,Santa Clarita,2.0,50,"['Mexican restaurant', 'Latin American restaurant', 'Peruvian restaurant']"
Taqueria Los Primos,Santa Clarita,2.0,113,"['Mexican restaurant', 'Latin American restaurant']"
Micheladas Mexican Grill,Santa Clarita,2.8,180,['Mexican restaurant']
Del Taco,Bakersfield,1.6,86,['Mexican restaurant']
El Vaquero Restaurant,Los Angeles,1.9,74,['Mexican restaurant']
El CAMARONERO #2,Los Angeles,2.3,45,['Mexican restaurant']
Las Lomas Restaurant,Los Angeles,2.3,295,['Mexican restaurant']
El Camaronero Restaurant # 1,Los Angeles,2.3,46,['Mexican restaurant']
Casa Torres Restaurante y Cantina,Los Angeles,2.1,885,"['Mexican restaurant', 'Latin American restaurant']"
Hub Liquor & Tacos,San Fernando,2.5,19,['Mexican restaurant']
El Pollo Campeon,San Fernando,1.4,22,['Mexican restaurant']
Dona Mercedes Restaurant,San Fernando,2.1,73,"['Latin American restaurant', 'Mexican restaurant']"
Taco Bell,Alameda,1.5,373,['Mexican restaurant']
La Güera Poblana Quesadillas,Los Angeles,2.7,19,['Mexican restaurant']
Tacos Guadalajara,Long Beach,2.1,34,['Mexican restaurant']
Plaza Jalisco Restaurant #1104,Los Angeles,1.4,38,['Mexican restaurant']
Taqueria Jerez,Los Angeles,2.2,26,"['Mexican restaurant', 'Latin American restaurant']"
Tortas Ahogadas Las Originales,Los Angeles,1.7,60,['Mexican restaurant']
El Huarachito Casero,Los Angeles,2.0,83,"['Mexican restaurant', 'Latin American restaurant']"
Continental Bakery,Los Angeles,1.9,85,"['Latin American restaurant', 'Mexican restaurant']"
El Indio,Los Angeles,1.9,34,['Mexican restaurant']
Los Pilares,Los Angeles,2.3,11,['Mexican restaurant']
Real Good Tasty Food,Los Angeles,2.2,15,['Mexican restaurant']
Huaraches Y Quesadillas Chayito,Los Angeles,2.2,42,['Mexican restaurant']
Birrieria San Marcos,Los Angeles,2.2,30,['Mexican restaurant']
TACOS JR,Los Angeles,1.8,59,['Mexican restaurant']
Paraíso Del Mar,Los Angeles,1.9,19,['Mexican restaurant']
Papas & Tacos,Los Angeles,2.2,95,"['Mexican restaurant', 'Latin American restaurant']"
Casa Jalisco Restaurant,Los Angeles,2.1,49,['Mexican restaurant']
Génesis Restaurant & Coffee Shop,Los Angeles,2.7,18,['Mexican restaurant']
El Manjar Restaurant,San Fernando,1.7,52,['Mexican restaurant']
El Gallo Giro,Red Bluff,2.2,43,['Mexican restaurant']
Viva Jalisco,San Fernando,2.8,18,['Mexican restaurant']
El Uli Mar Y Tierra,Los Angeles,2.2,14,['Mexican restaurant']
Gracie's Mexican Deli,Los Angeles,1.8,30,['Mexican restaurant']
TACOS MARY,Los Angeles,3.4,11,['Mexican restaurant']
Casa 7 Mares Restaurant,Los Angeles,2.2,76,['Mexican restaurant']
Tacos Burritos Tortas,Los Angeles,2.3,14,['Mexican restaurant']
Maya's restaurant,Los Angeles,1.6,15,['Mexican restaurant']
Carnitas Michoacanas,Los Angeles,2.3,21,['Mexican restaurant']
El Pollo Loco,Burbank,1.6,29,['Mexican restaurant']
El Pollo Gordo,Burbank,2.2,23,['Mexican restaurant']
Daniela's Tacos,Los Angeles,2.9,11,['Mexican restaurant']
Picanha Churrascaria,Burbank,1.8,11,['Brazilian restaurant']
Tequilas Cantina & Grill,Burbank,2.4,352,"['Mexican restaurant', 'Latin American restaurant']"
Restaurante El Gordo,Los Angeles,2.2,36,['Mexican restaurant']
Pablito's Tacos,Los Angeles,2.0,44,"['Mexican restaurant', 'Peruvian restaurant']"
Los Tripones,Los Angeles,1.6,17,"['Latin American restaurant', 'Mexican restaurant']"
Tacos fiesta LA,Los Angeles,2.6,14,['Mexican restaurant']
Tacos El Venado,Los Angeles,3.0,24,['Mexican restaurant']
Carniceria Argentina Alex Meat Market,Los Angeles,3.1,25,['Argentinian restaurant']
Mofongos,Los Angeles,2.6,420,"['Caribbean restaurant', 'Latin American restaurant']"
Barranco taco bar,Los Angeles,2.4,36,['Mexican restaurant']
Chipotle Mexican Grill,Anaheim,1.6,35,['Mexican restaurant']
El Tortillazo Mexican food,Los Angeles,1.3,18,['Mexican restaurant']
Lino's Tacos,Los Angeles,2.3,36,"['Mexican restaurant', 'Latin American restaurant']"
Taco Bell,Alameda,1.0,51,['Mexican restaurant']
Z & J Taqueria,Los Angeles,2.4,14,['Mexican restaurant']
TE AMO TACOS,Los Angeles,2.5,20,['Mexican restaurant']
Puro Sabor Peruvian Restaurant,Los Angeles,2.4,157,['Peruvian restaurant']
El Taco Llama Restaurant,Los Angeles,1.9,111,['Mexican restaurant']
Un Big Burrito,Los Angeles,2.6,13,['Mexican restaurant']
Cactus Mexican Grill,Los Angeles,2.2,17,['Mexican restaurant']
El Torito Grill,Los Angeles,1.8,13,['Mexican restaurant']
Baleadas Y Más,Los Angeles,3.1,10,['Central American restaurant']
El Torito,Burbank,2.3,608,['Mexican restaurant']
Tacos El Venado,Los Angeles,2.5,30,['Mexican restaurant']
Wahoo's Fish Taco,Los Angeles,2.4,35,['Mexican restaurant']
"""TACOS"" MICHOACAN",Los Angeles,2.1,55,['Mexican restaurant']
Tacos El Tijuanazo,Los Angeles,1.8,18,['Mexican restaurant']
El Pollo Loco,Burbank,2.0,15,['Mexican restaurant']
Andy's Surf N Turf Tacos,Los Angeles,2.9,73,['Mexican restaurant']
Tony's #1 Mexican Grill,Los Angeles,1.7,35,['Mexican restaurant']
Micheladas Mex Grill,Los Angeles,3.3,16,['Mexican restaurant']
Taco truck tho,Los Angeles,2.1,17,['Mexican restaurant']
Tacos Colima,Los Angeles,2.6,27,['Mexican restaurant']
Taqueria La Plebe and More,Los Angeles,2.2,37,['Mexican restaurant']
Restaurante Panaderia Y Pupuseria Belen,Los Angeles,1.9,70,['Latin American restaurant']
La Parrilla Fresh,Los Angeles,2.1,30,['Mexican restaurant']
TACOS EL PUEBLA,Los Angeles,2.1,64,['Mexican restaurant']
Gaucho Grill Woodland Hills,Los Angeles,1.8,20,['Latin American restaurant']
Casa De Papi Mexican Grill,Los Angeles,3.1,59,['Mexican restaurant']
Taqueria El Jaliciense,Los Angeles,2.4,10,['Mexican restaurant']
Tacos Playa De Oro,Los Angeles,2.4,14,['Mexican restaurant']
Carnitas Michoacan,Los Angeles,1.7,70,"['Mexican restaurant', 'Latin American restaurant']"
Villa Del Sol Mexican Restuarant,Los Angeles,2.5,27,['Mexican restaurant']
Carnitas Michoacan,Los Angeles,1.9,214,['Mexican restaurant']
Ubatuba Acai - Woodland Hills,Los Angeles,2.3,38,['Brazilian restaurant']
Mission Burrito,Los Angeles,2.1,258,['Mexican restaurant']
Birria and Pozole To Go,Los Angeles,3.1,20,['Mexican restaurant']
Azure Tavern & Lounge,Los Angeles,2.8,10,['Mexican restaurant']
Pacific West General Store,Los Angeles,1.9,11,['Mexican restaurant']
Kayndaves,Santa Monica,2.8,25,['Mexican restaurant']
Azulé Taqueria,Santa Monica,2.4,22,['Mexican restaurant']
LA PUREPECHA COCINA MEXICANA,Santa Monica,1.6,11,['Mexican restaurant']
Benny's Tacos & Rotisserie Chicken in Westchester,Los Angeles,2.4,738,['Mexican restaurant']
Agave Azul Kitchen & Tequila Bar,Hermosa Beach,2.8,20,['Mexican restaurant']
Amigos Tacos,Hermosa Beach,2.2,57,['Mexican restaurant']
Hermosa Mexican Cuisine,Hermosa Beach,2.7,68,['Mexican restaurant']
Brazuca Brazilian Cuisine,Manhattan Beach,3.1,27,['Brazilian restaurant']
La Sirena Grill,El Segundo,2.1,25,"['Mexican restaurant', 'Latin American restaurant']"
Leo's Mexican Food,Lawndale,2.5,483,['Mexican restaurant']
Lupita's Mexican Grill,Redondo Beach,2.2,132,['Mexican restaurant']
Maderos Cocina Mexicana,Redondo Beach,3.4,141,['Mexican restaurant']
Mexican On The Pier,Redondo Beach,1.6,11,['Mexican restaurant']
El Torito Grill,Los Angeles,1.6,30,['Mexican restaurant']
La Cocina,Redondo Beach,2.4,69,['Mexican restaurant']
Nene's Colombian Food,Lawndale,1.7,14,['Colombian restaurant']
Del Taco,Bakersfield,1.6,980,['Mexican restaurant']
Padrinos Taqueria,Lawndale,2.5,10,['Mexican restaurant']
Tres De Asada Mexican Grill,Gardena,1.8,16,['Mexican restaurant']
Mr V's Philly Cheesesteak & Burritos,Los Angeles,2.3,52,['Mexican restaurant']
Taco Bell,Alameda,0.6,27,['Mexican restaurant']
TAQUERIA FARIAS,Inglewood,2.9,11,['Mexican restaurant']
Las Brisas Mexican Restaurant,Hawthorne,2.1,23,['Mexican restaurant']
Mariscos El Chuy #2,Hawthorne,2.1,274,['Mexican restaurant']
Taco Express,Los Angeles,2.3,12,['Mexican restaurant']
El Pollo Grande Restaurants,Lennox,2.9,22,"['Central American restaurant', 'Latin American restaurant', 'Mexican restaurant']"
Chipotle Mexican Grill,Anaheim,2.0,151,['Mexican restaurant']
Rubio's,Huntington Beach,2.7,11,['Mexican restaurant']
Acapela Modern Mex,Los Angeles,2.8,16,['Mexican restaurant']
Tacos el Picosito,Lennox,2.7,12,['Mexican restaurant']
American Street Tacos,Inglewood,1.9,30,['Mexican restaurant']
El Sancho Mexican Food,Los Angeles,1.9,21,['Mexican restaurant']
Zacatecas Meat Market,Los Angeles,2.0,10,['Mexican restaurant']
Taco Bell,Alameda,1.4,950,['Mexican restaurant']
Taqueria Jalisco,Los Angeles,1.7,46,['Mexican restaurant']
Hermanos,Los Angeles,1.8,52,['Latin American restaurant']
Lupita's Meat Market,Los Angeles,2.6,79,['Mexican restaurant']
Guelaguetza Restaurant,Los Angeles,2.3,2423,['Mexican restaurant']
Olocuilta,Los Angeles,1.6,14,['Mexican restaurant']
Fiesta Mexicana,Los Angeles,1.8,28,['Mexican restaurant']
Panadería Guila,Los Angeles,2.0,55,['Mexican restaurant']
Tinga,Los Angeles,2.8,23,"['Mexican restaurant', 'Latin American restaurant']"
Alta California Fonda,Los Angeles,3.5,15,['Mexican restaurant']
Doña Félix Restaurant,Los Angeles,2.0,27,['Mexican restaurant']
El Bronco Taqueria,Los Angeles,2.3,42,"['Mexican restaurant', 'Latin American restaurant']"
EK Valley,Culver City,3.6,16,['Mexican restaurant']
Wunder-Eats,Beverly Hills,2.2,14,['Mexican restaurant']
Taqueria El Taco Loco #7,Los Angeles,2.4,90,['Mexican restaurant']
Mamá Por Dios,Los Angeles,2.3,38,['Mexican restaurant']
Cemitas,Los Angeles,2.9,5,['Mexican restaurant']
Tacos Tamix Mexican food truck,Los Angeles,2.4,102,['Mexican restaurant']
Los Primos TACO Truck,Los Angeles,2.5,12,['Mexican restaurant']
Paiche,Marina del Rey,2.8,11,['Peruvian restaurant']
Tamara's Tamales,Los Angeles,2.9,37,['Mexican restaurant']
Cabo Cantina,Marina del Rey,1.9,690,['Mexican restaurant']
Tacos Chidos,Los Angeles,2.5,52,['Mexican restaurant']
Tacos Punta Cabras,Santa Monica,2.6,32,['Mexican restaurant']
Baja Bud's Restaurants,Los Angeles,2.7,10,['Mexican restaurant']
Manoly's Bakery,Los Angeles,2.0,35,['Mexican restaurant']
Pili's Tacos,Los Angeles,1.8,21,"['Mexican restaurant', 'Latin American restaurant']"
Taco Plus,Los Angeles,1.9,190,"['Mexican restaurant', 'Latin American restaurant']"
Horchata Mexican Food,Culver City,2.4,13,['Mexican restaurant']
Picca,Los Angeles,2.4,36,['Peruvian restaurant']
Habanero Grill,Los Angeles,1.2,13,['Mexican restaurant']
Frida Mexican Cuisine – Beverly Hills,Beverly Hills,2.3,250,['Mexican restaurant']
Taco Bell,Alameda,2.1,21,['Mexican restaurant']
Poquito Mas,West Hollywood,2.0,12,['Mexican restaurant']
Frida Tacos Melrose,Los Angeles,1.9,11,"['Mexican restaurant', 'Latin American restaurant']"
Tacos El Gavilan,Los Angeles,2.0,871,['Mexican restaurant']
El Flamin Taco,Los Angeles,2.3,53,['Mexican restaurant']
Tacos Neza,Los Angeles,3.0,27,['Mexican restaurant']
Don Cuco Mexican Restaurant,Burbank,2.4,486,"['Mexican restaurant', 'Latin American restaurant']"
El Torito,Burbank,1.6,36,['Mexican restaurant']
New Buenos Aires Bakery & Cafe,Burbank,2.5,98,['Argentinian restaurant']
"Justin Queso's Tex-Mex Restaurant & Bar - Mexican Food & More: Brunch, Lunch, Dinner & Late Night Drinks",West Hollywood,2.8,18,['Mexican restaurant']
Nossa Restaurant,Los Angeles,2.8,20,['Brazilian restaurant']
Sonia’s Taco Truck,Los Angeles,2.5,26,['Mexican restaurant']
Ritual Açai,Los Angeles,3.4,12,['Brazilian restaurant']
HomeState,Pasadena,3.0,24,['Mexican restaurant']
El Matador Authentic Mexican Food,Pasadena,2.5,31,['Mexican restaurant']
Tacos 210,Altadena,2.9,10,['Mexican restaurant']
Del Taco,Bakersfield,1.4,1664,['Mexican restaurant']
Frida Tacos – Campus Village,Pasadena,2.0,17,['Mexican restaurant']
La Estrella Tacos,Los Angeles,2.6,11,['Mexican restaurant']
Yahaira's Cafe,Pasadena,2.8,106,['Mexican restaurant']
Bodegón No.69,Pasadena,3.5,14,"['Peruvian restaurant', 'Latin American restaurant']"
Chipotle Mexican Grill,Anaheim,2.5,11,['Mexican restaurant']
Malbec Argentinean Cuisine,Los Angeles,2.8,77,"['Argentinian restaurant', 'Latin American restaurant']"
Chipotle Mexican Grill,Anaheim,0.9,14,['Mexican restaurant']
Tacos/Moulita Stand,Los Angeles,2.1,19,['Mexican restaurant']
Evil Cooks,Los Angeles,2.5,26,['Mexican restaurant']
MX 30-30 ll,Los Angeles,2.8,27,['Mexican restaurant']
Vicky's Restaurant,Los Angeles,2.4,14,['Mexican restaurant']
Velarde's Fruits,Los Angeles,2.9,36,['Mexican restaurant']
La Serenata de Garibaldi,Los Angeles,2.9,26,['Mexican restaurant']
Tacos Cebrian,Los Angeles,2.5,20,['Mexican restaurant']
La Reyna Tacos #2,Los Angeles,2.9,13,['Mexican restaurant']
El Aji Cocina Peruana,Los Angeles,2.2,10,['Mexican restaurant']
La Papa Loca,Los Angeles,2.0,25,['Mexican restaurant']
California Chicken Mexican Grill,Los Angeles,1.7,12,['Mexican restaurant']
Martha's Kitchen,Los Angeles,2.4,49,['Latin American restaurant']
Cerveteca DTLA,Los Angeles,3.1,20,"['Latin American restaurant', 'Mexican restaurant']"
Placita Cafe,Los Angeles,2.7,58,['Mexican restaurant']
Paraiso,Los Angeles,2.0,25,['Mexican restaurant']
Jose Chiquito,Los Angeles,2.3,31,['Mexican restaurant']
Rosita Mexican Restaurant,Los Angeles,1.6,17,['Mexican restaurant']
La Especial,Los Angeles,2.3,14,['Mexican restaurant']
Tacos Bernis,Los Angeles,3.2,17,['Mexican restaurant']
King Taco # 1,Los Angeles,1.9,928,"['Mexican restaurant', 'Latin American restaurant']"
MCAU,Los Angeles,1.9,11,['Mexican restaurant']
Rodeo Mexican Grill (Echo Park),Los Angeles,2.0,23,['Mexican restaurant']
Tacos Mexico Echo Park,Los Angeles,1.7,91,"['Mexican restaurant', 'Latin American restaurant']"
Tamales Alberto Echo Park,Los Angeles,2.2,30,['Mexican restaurant']
Tacos Roger #1,Los Angeles,2.2,19,['Mexican restaurant']
Acapulco,Los Angeles,1.8,41,['Mexican restaurant']
El Cielito Lindo,Los Angeles,1.9,17,['Mexican restaurant']
La Piramide Salvadoreña Restaurant,Los Angeles,2.9,20,['Latin American restaurant']
El Palmar Salvadorean Restaurant,Los Angeles,1.3,87,['Latin American restaurant']
El Potrillo Cafe,Los Angeles,2.2,30,"['Mexican restaurant', 'Latin American restaurant']"
El Caserio Restaurant,Los Angeles,2.4,396,"['Ecuadorian restaurant', 'Latin American restaurant']"
EL MICHOACANO TACOS,Los Angeles,1.9,18,['Mexican restaurant']
Taco Bell,Alameda,1.5,739,['Mexican restaurant']
Rikas Peruvian cuisine,Los Angeles,2.2,66,['Peruvian restaurant']
The Pollo L.A.,Los Angeles,2.0,102,['Mexican restaurant']
Graciela's Restaurant,Los Angeles,2.0,56,['Mexican restaurant']
Sabor Mexicano Restaurant,Los Angeles,2.3,43,['Mexican restaurant']
Es Todo Vegan Street Food,Los Angeles,3.4,15,['Mexican restaurant']
La Superior Panaderia,Los Angeles,2.5,21,['Mexican restaurant']
Tacos Esquinita,Los Angeles,2.0,13,['Mexican restaurant']
Mac Taco & Pollo,Los Angeles,2.0,10,['Mexican restaurant']
Pollo Master,Los Angeles,1.7,37,"['Latin American restaurant', 'Central American restaurant', 'Mexican restaurant']"
El Primo Taco Truck,Los Angeles,2.0,38,['Mexican restaurant']
Ocho Mexican Grill,Los Angeles,2.2,38,"['Mexican restaurant', 'Latin American restaurant']"
Garden Juice,Los Angeles,1.6,17,"['Mexican restaurant', 'Latin American restaurant']"
Cilantro Fresh Mexican Grill,Los Angeles,2.6,18,['Mexican restaurant']
Taco Bravo,Los Angeles,2.5,24,"['Mexican restaurant', 'Latin American restaurant']"
Crazy Tacos On 9th,Los Angeles,2.2,16,['Mexican restaurant']
1810 Argentinean Restaurant,Los Angeles,3.1,29,['Argentinian restaurant']
Panaderia Amarilla,Los Angeles,1.0,39,['Mexican restaurant']
Doña Estela Mariscos,Los Angeles,2.2,18,['Mexican restaurant']
Restaurant Pollo Al Carbon,Los Angeles,1.4,25,['Mexican restaurant']
"Forty's Bakery,Restaurant & Juices",Los Angeles,2.1,30,['Mexican restaurant']
El Huero Drive Thru,Los Angeles,1.8,1424,['Mexican restaurant']
La Catrina Restaurant,Los Angeles,2.0,22,['Mexican restaurant']
El Chalateco,Los Angeles,2.0,81,['Mexican restaurant']
Golazo,Los Angeles,2.0,28,['Mexican restaurant']
La Mas Meat Pollo Two,Los Angeles,1.8,41,"['Latin American restaurant', 'Mexican restaurant']"
Taqueria Don Lupe,Los Angeles,2.2,11,['Mexican restaurant']
Chavez Guadalupe,Los Angeles,2.0,27,['Mexican restaurant']
Mi Lindo Nayarit Restaurant,Los Angeles,1.3,22,['Mexican restaurant']
Trujillo Family Restaurants,Los Angeles,2.0,39,['Mexican restaurant']
Tacos el Pony,Los Angeles,1.7,52,['Mexican restaurant']
Antojitos Tropicales,Los Angeles,1.8,51,['Mexican restaurant']
Tacos Tortas & Burritos,Los Angeles,2.4,43,['Mexican restaurant']
Juanito's Tacos,Los Angeles,2.6,28,['Mexican restaurant']
Puertos Del Pacifico,Los Angeles,1.0,14,['Mexican restaurant']
Mariscos 4 Vientos,Los Angeles,2.1,2085,"['Latin American restaurant', 'Mexican restaurant']"
Tacos de camaron,Vernon,2.4,41,['Mexican restaurant']
Tacos De Birria De Res,Los Angeles,2.3,67,['Mexican restaurant']
El Garibaldi,Los Angeles,2.1,18,['Mexican restaurant']
Tortas Ahogadas El Rey,Huntington Park,2.0,309,['Mexican restaurant']
Taco Safary Mexican Food,Huntington Park,1.8,77,['Mexican restaurant']
Los Pochos,Huntington Park,2.6,25,['Mexican restaurant']
El Pastor Bar & Grill,Huntington Park,1.6,13,['Mexican restaurant']
The Original El Gavilan,Los Angeles,2.3,13,['Mexican restaurant']
Mi San Salvador,South Gate,1.9,101,['Latin American restaurant']
